test_id	gene_id	gene	locus	sample_1	value_1
XLOC_000001	XLOC_000001	DDX11L1	1:11868-31109	Benign	0.680136
XLOC_000002	XLOC_000002	RP11-34P13.3,hsa-mir-1302-2	1:11868-31109	Benign	0
XLOC_000003	XLOC_000003	OR4G11P	1:62947-63887	Benign	0
XLOC_000004	XLOC_000004	OR4F5	1:65881-70008	Benign	0
XLOC_000005	XLOC_000005	RP11-34P13.10	1:89294-133923	Benign	0.143061
XLOC_000006	XLOC_000006	RP11-34P13.9	1:160445-161525	Benign	0
XLOC_000007	XLOC_000007	RP4-669L17.10,RP4-669L17.11,RP4-669L17.8	1:317810-328455	Benign	1.66076
XLOC_000008	XLOC_000008	RP4-669L17.4	1:329425-461954	Benign	0
XLOC_000009	XLOC_000009	OR4F29	1:329425-461954	Benign	0
XLOC_000010	XLOC_000010	RP5-857K21.15	1:329425-461954	Benign	0.319873
XLOC_000011	XLOC_000011	RP4-669L17.1	1:470906-471368	Benign	0
XLOC_000012	XLOC_000012	RP5-857K21.2,RP5-857K21.3	1:521368-532878	Benign	0
XLOC_000013	XLOC_000013	MTND1P23	1:536815-660287	Benign	232.981
XLOC_000014	XLOC_000014	AC114498.2	1:536815-660287	Benign	11816.4
XLOC_000015	XLOC_000015	MTND2P28	1:536815-660287	Benign	155.636
XLOC_000016	XLOC_000016	RP5-857K21.6	1:536815-660287	Benign	716.754
XLOC_000017	XLOC_000017	AC114498.1	1:536815-660287	Benign	0
XLOC_000018	XLOC_000018	RP5-857K21.7	1:536815-660287	Benign	382.722
XLOC_000019	XLOC_000019	AC114498.6	1:536815-660287	Benign	84.2017
XLOC_000020	XLOC_000020	RP5-857K21.10,RP5-857K21.11,RP5-857K21.14	1:536815-660287	Benign	945.602
XLOC_000021	XLOC_000021	RP5-857K21.12	1:536815-660287	Benign	0
XLOC_000022	XLOC_000022	CICP3	1:536815-660287	Benign	0.144241
XLOC_000023	XLOC_000023	RP11-206L10.4	1:694411-714006	Benign	0
XLOC_000024	XLOC_000024	RP11-206L10.6,RP11-206L10.7,RP11-206L10.9	1:714161-755214	Benign	4.00934
XLOC_000025	XLOC_000025	AL669831.1	1:714161-755214	Benign	0
XLOC_000026	XLOC_000026	FAM87B	1:714161-755214	Benign	1.37325
XLOC_000027	XLOC_000027	RP11-206L10.11	1:762987-789791	Benign	2.12846
XLOC_000028	XLOC_000028	RP11-206L10.13	1:803450-812283	Benign	0.190438
XLOC_000029	XLOC_000029	RP11-54O7.1,RP11-54O7.2	1:846814-850351	Benign	0
XLOC_000030	XLOC_000030	SAMD11	1:860259-894689	Benign	0
XLOC_000031	XLOC_000031	KLHL17	1:895966-901095	Benign	2.97224
XLOC_000032	XLOC_000032	PLEKHN1	1:901876-917497	Benign	0
XLOC_000033	XLOC_000033	ISG15	1:948802-949920	Benign	1.953
XLOC_000034	XLOC_000034	AGRN,RP11-54O7.14	1:955502-991496	Benign	3.63782
XLOC_000035	XLOC_000035	RP11-465B22.3	1:995113-1004735	Benign	0
XLOC_000036	XLOC_000036	RP11-465B22.5	1:1072396-1079436	Benign	0
XLOC_000037	XLOC_000037	MIR200B	1:1102483-1102578	Benign	22.7585
XLOC_000038	XLOC_000038	MIR200A	1:1103242-1103332	Benign	25.7931
XLOC_000039	XLOC_000039	MIR429	1:1104384-1104467	Benign	29.2821
XLOC_000040	XLOC_000040	TTLL10	1:1108435-1133315	Benign	0
XLOC_000041	XLOC_000041	B3GALT6	1:1167628-1170421	Benign	0
XLOC_000042	XLOC_000042	RP5-902P8.10,SCNN1D	1:1210602-1227409	Benign	0
XLOC_000043	XLOC_000043	PUSL1	1:1227755-1260071	Benign	0
XLOC_000044	XLOC_000044	GLTPD1	1:1260135-1264277	Benign	0.686887
XLOC_000045	XLOC_000045	TAS1R3	1:1266693-1284760	Benign	0.470156
XLOC_000046	XLOC_000046	RP5-890O3.3	1:1314043-1314412	Benign	0
XLOC_000047	XLOC_000047	RP4-758J18.2,RP4-758J18.3	1:1334901-1342693	Benign	2.21394
XLOC_000048	XLOC_000048	RP4-758J18.7	1:1353799-1358071	Benign	0
XLOC_000049	XLOC_000049	TMEM88B	1:1360831-1363179	Benign	0
XLOC_000050	XLOC_000050	AL391244.1	1:1363501-1365635	Benign	0
XLOC_000051	XLOC_000051	VWA1	1:1370240-1378262	Benign	1.39183
XLOC_000052	XLOC_000052	ATAD3C	1:1385068-1405538	Benign	0
XLOC_000053	XLOC_000053	ATAD3B	1:1407127-1433228	Benign	2.0113
XLOC_000054	XLOC_000054	ATAD3A	1:1447530-1470067	Benign	1.81025
XLOC_000055	XLOC_000055	AL645728.1	1:1510354-1511373	Benign	0
XLOC_000056	XLOC_000056	AL645728.3	1:1515135-1515379	Benign	0
XLOC_000057	XLOC_000057	AL691432.1	1:1535818-1545864	Benign	0
XLOC_000058	XLOC_000058	MIB2	1:1550794-1565990	Benign	15.9391
XLOC_000059	XLOC_000059	MMP23B	1:1567473-1570639	Benign	0
XLOC_000060	XLOC_000060	MMP23A	1:1631368-1633249	Benign	0
XLOC_000061	XLOC_000061	RP1-283E3.3	1:1656053-1677431	Benign	0
XLOC_000062	XLOC_000062	RP1-283E3.4,RP1-283E3.8	1:1656053-1677431	Benign	0
